participant_id,dark_period_ts,lights_on_ts,trial,condition,melanopic_edi,photopic_lux
311,2025-03-19T10:35:09Z,2025-03-19T11:09:38Z,21,3,1967,2420
311,2025-03-19T10:35:09Z,2025-03-19T11:10:52Z,22,5,8408,9822
311,2025-03-19T10:35:09Z,2025-03-19T11:12:04Z,23,2,912,1074
311,2025-03-19T10:35:09Z,2025-03-19T11:13:18Z,24,5,8408,9822
311,2025-03-19T10:35:09Z,2025-03-19T11:14:30Z,25,1,392,486
311,2025-03-19T10:35:09Z,2025-03-19T11:15:44Z,26,1,392,486
311,2025-03-19T10:35:09Z,2025-03-19T11:16:57Z,27,5,8408,9822
311,2025-03-19T10:35:09Z,2025-03-19T11:18:08Z,28,5,8408,9822
311,2025-03-19T10:35:09Z,2025-03-19T11:19:19Z,29,3,1967,2420
311,2025-03-19T10:35:09Z,2025-03-19T11:20:32Z,30,3,1967,2420
311,2025-03-19T10:35:09Z,2025-03-19T11:21:44Z,31,0,0,0
311,2025-03-19T10:35:09Z,2025-03-19T11:22:58Z,32,0,0,0
311,2025-03-19T10:35:09Z,2025-03-19T11:24:12Z,33,1,392,486
311,2025-03-19T10:35:09Z,2025-03-19T11:25:25Z,34,2,912,1074
311,2025-03-19T10:35:09Z,2025-03-19T11:26:38Z,35,2,912,1074
311,2025-03-19T10:35:09Z,2025-03-19T11:27:51Z,36,4,3906,4532
312,2025-03-19T16:30:08Z,2025-03-19T16:40:28Z,1,5,8408,9822
312,2025-03-19T16:30:08Z,2025-03-19T16:41:42Z,2,3,1967,2420
312,2025-03-19T16:30:08Z,2025-03-19T16:42:53Z,3,1,392,486
312,2025-03-19T16:30:08Z,2025-03-19T16:44:05Z,4,0,0,0
312,2025-03-19T16:30:08Z,2025-03-19T16:45:17Z,5,2,912,1074
312,2025-03-19T16:30:08Z,2025-03-19T16:46:28Z,6,1,392,486
312,2025-03-19T16:30:08Z,2025-03-19T16:47:46Z,7,5,8408,9822
312,2025-03-19T16:30:08Z,2025-03-19T16:48:58Z,8,4,3906,4532
312,2025-03-19T16:30:08Z,2025-03-19T16:50:12Z,9,3,1967,2420
312,2025-03-19T16:30:08Z,2025-03-19T16:51:26Z,10,4,3906,4532
312,2025-03-19T16:30:08Z,2025-03-19T16:52:38Z,11,1,392,486
312,2025-03-19T16:30:08Z,2025-03-19T16:53:50Z,12,4,3906,4532
312,2025-03-19T16:30:08Z,2025-03-19T16:55:04Z,13,0,0,0
312,2025-03-19T16:30:08Z,2025-03-19T16:56:17Z,14,5,8408,9822
312,2025-03-19T16:30:08Z,2025-03-19T16:57:28Z,15,0,0,0
312,2025-03-19T16:30:08Z,2025-03-19T16:58:42Z,16,1,392,486
312,2025-03-19T16:30:08Z,2025-03-19T16:59:54Z,17,1,392,486
312,2025-03-19T16:30:08Z,2025-03-19T17:01:06Z,18,2,912,1074
